Time,Time Code,Country Name,Country Code,GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]","Services, value added (% of GDP) [NV.SRV.TOTL.ZS]","GDP per capita, PPP (constant 2021 international $) [NY.GDP.PCAP.PP.KD]",Trade (% of GDP) [NE.TRD.GNFS.ZS],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",Net ODA received (% of GNI) [DT.ODA.ODAT.GN.ZS],Urban population growth (annual %) [SP.URB.GROW],Forest area (% of land area) [AG.LND.FRST.ZS],Agricultural land (% of land area) [AG.LND.AGRI.ZS],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Sex ratio at birth (male births per female births) [SP.POP.BRTH.MF],"Population, female (% of total population) [SP.POP.TOTL.FE.ZS]","Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]","Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate) [SL.TLF.CACT.FE.ZS]","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate) [SL.TLF.CACT.MA.ZS]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Employment in agriculture (% of total employment) (modeled ILO estimate) [SL.AGR.EMPL.ZS],Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS],Employment in services (% of total employment) (modeled ILO estimate) [SL.SRV.EMPL.ZS]
2017,YR2017,Viet Nam,VNM,6.94019037359206,12.9298794852362,35.3903640729728,42.5807243141144,10290.5487142244,160.98008365887,81.7625218355655,79.2175618233041,5.01148721749681,0.910699779837221,2.79982090581249,45.9963369846492,38.8279627189274,4.99014759,1.121,51.1009894756376,16.764,6.238,72.575,82.197,1.874,3.52025688811617,40.1554391261382,25.7768318231697,34.0677198752187
2018,YR2018,Thailand,THA,4.22287028746071,8.20181926195524,34.7424896675041,57.0556910705407,20879.9027821449,120.841864730984,64.838096899332,56.0037678316517,2.71279835138662,-0.0869413910259997,10.6249435934454,39.0397150071444,44.7174470042475,3.87040329,1.064,50.9762388457376,9.4,7.167,59.569,76.527,0.765,1.06389754183024,32.1983100446982,22.8486643164464,44.9530256388553
2018,YR2018,Viet Nam,VNM,7.46500685572751,12.3066684310428,36.5424334086447,42.1709178908888,10936.8937859558,164.663936775893,84.4234560833365,80.2404806925565,4.99828319622328,0.558921597096612,2.82681090808417,46.2346815387217,38.7344502263671,5.02678823,1.148,51.0691969712914,15.438,6.263,72.897,82.408,1.161,3.53962805942641,37.7241139171479,26.7047230561435,35.5711648258268
2019,YR2019,Thailand,THA,2.11455779628278,8.1285680400948,33.5939105133265,58.2775214465787,21277.8392684764,109.689514715166,59.5188906218859,50.1706240932801,1.01734877580041,-0.0669245184161615,2.63388512236266,38.9692497406487,45.019475816712,3.78911877,1.064,51.0312906591011,9.056,7.422,58.9,75.485,0.716,0.706728601314311,31.4905856675213,22.8893483662012,45.6200634452476
2019,YR2019,Viet Nam,VNM,7.35926270105006,11.7845285540387,36.8031368977554,42.4687227777403,11628.6139147451,164.704215031408,85.1575874073411,79.5466276240668,4.821074861051,0.342992317246203,2.96038644426744,46.4768416451573,39.5241027473527,4.97407484,1.115,51.0531210709886,15.513,6.3,71.511,82.088,1.681,2.7958236745225,34.5351601063592,29.5891842687317,35.8756556249091
2020,YR2020,Thailand,THA,-6.05003846851622,8.70285214673554,33.2907229678575,58.006424885407,19957.257140917,97.8007432465178,51.4944266088919,46.3063166376258,-0.857989527274493,0.0407745706352862,2.48059318189253,38.8987844741529,45.5516837283955,4.35724688,1.064,51.0892383397479,8.792,7.618,59.106,75.454,1.099,-0.845937147357041,31.3894710294934,22.6027550384991,46.0077764439411
2020,YR2020,Viet Nam,VNM,2.86541320912272,12.6554035685556,36.7437132938801,41.8311604395691,11851.3965685649,163.245862814935,84.381598008957,78.8642648059779,4.55836196782424,0.353395254058579,3.6251116340205,46.7190017515929,39.4347683207361,4.33219814,1.121,51.0420207279238,15.234,5.813,69.095,80.025,2.103,3.22093436652514,32.6123879661738,31.0698896075906,36.3177224262355
2021,YR2021,Thailand,THA,1.55216608426647,8.69291293050797,35.0317119667993,56.2753751026927,20242.7700035656,117.252944620852,58.5593891849287,58.6935554359232,3.04025282072429,0.0273929847645155,2.31934361435892,38.8283192076572,45.9981600735971,5.15399981,1.064,51.1467483552853,8.544,7.744,59.18,75.251,1.215,1.23039541318384,31.8973264305607,22.2725385292104,45.8301350402289
2021,YR2021,Viet Nam,VNM,2.55372852648131,12.6030904652745,37.3915192469302,41.2574400803721,12048.9019935536,186.675832836814,93.8502071275575,92.8256257092568,4.27314566190187,0.151801839170189,3.86918418992208,46.9611618580284,39.4347683207361,4.53792429,1.12,51.0300227326808,14.735,6.653,69.107,78.712,2.383,1.83471554810444,29.0283266030004,33.1255735800284,37.8460942595862
2022,YR2022,Thailand,THA,2.58037874709827,8.71945138441444,35.1217577031461,56.1587909124394,20762.7952598527,132.858712082871,65.3727641914083,67.485947891463,2.39179841841837,0.115752157534506,2.09762633697923,38.7578539411615,45.9981600735971,5.35471153,1.064,51.2021545199855,8.38,9.231,59.576,75.318,0.94,-1.61068030486688,30.4232397167292,22.2352690912822,47.3414812840193
2022,YR2022,Viet Nam,VNM,8.53750046755788,11.8802998302585,38.4823612398341,41.1356424431376,12979.7639049934,183.153619147836,93.420129043511,89.7334901043249,4.32947308910883,0.0127149180103884,3.1599357541504,47.203321964464,39.2911951351024,4.53809595,1.111,51.0223854367731,14.272,6.488,69.878,79.432,1.57,3.15650749963129,33.4623722339218,30.6825928896503,35.8550348764279
2023,YR2023,Thailand,THA,2.01775095328327,8.5627759867239,32.9804093286492,58.4568146846269,21191.4540309274,128.824114152375,65.4445629404008,63.3795512119745,2.00183400496619,0.0168927193799064,1.92942621671871,38.6873886746658,43.7980778641195,4.53787661,1.064,51.2568764051475,8.245,8.888,60.311,75.858,0.733,8.47805174421543,30.2203833465474,21.9241712091058,47.8554430043835
2023,YR2023,Viet Nam,VNM,5.06502391455075,11.8616711588794,37.5815697548824,42.2942279625883,13545.9346616752,164.818071269894,86.4674192371297,78.3506520327642,4.26407109843686,0.202041500754586,2.20966454551038,47.4454820708996,39.2147376279795,4.56109476,1.109,51.0215292556838,13.831,6.577,69.215,78.201,1.645,3.25289282667662,26.9827056291982,33.467876483268,39.5494160842561
