product_id,product_name,category,warehouse_location,stock_status,selling_price,original_price,discount_rate,rating_score,review_count,cumulative_units_sold,latest_snapshot_date,avg_daily_units_sold,avg_daily_revenue,total_period_revenue,avg_discount_rate,avg_rating_score,avg_review_count,stock_availability_rate,observation_days,sales_volatility,segment_id
3132988731,Áo ngực thể thao Nike Indy Light Support Women's Padded Adjustable Sports Bra,Áo lót thể thao nữ,Tây Ninh,Còn hàng,869000,869000,0.0,5.0,7,37,2026-03-20,0.10344827586206896,89896.55172413793,2607000.0,0.0010713860561088846,5.0,7.0,1.0,29,0.3099340466946034,0
3132993380,Giày thể thao Nike Vomero 18 Women's Road Running Shoes,Giày chạy bộ nữ,Tây Ninh,Còn hàng,4259000,4259000,0.0,5.0,6,26,2026-03-20,0.0,0.0,0.0,0.0,5.0,6.0,1.0,29,0.0,0
3132995508,Giày thể thao Nike Court Borough Low Recraft Little Kids' Shoes,Giày thể thao,Thành phố Hồ Chí Minh,Còn hàng,1279000,1279000,0.0,5.0,15,58,2026-03-20,0.06896551724137931,88206.89655172414,2558000.0,0.0,5.0,14.482758620689655,1.0,29,0.25788071477756375,0
3132995971,Quần dài Nike Unlimited Men's Dri-FIT Straight Leg Versatile Pants,Quần dài thể thao nam,Tây Ninh,Còn hàng,1839000,1839000,0.0,5.0,4,13,2026-03-20,0.034482758620689655,63413.793103448275,1839000.0,0.0,5.0,4.0,1.0,29,0.18569533817705186,0
3133011670,Tất Nike Everyday Plus Cushioned Training Crew Socks (3 Pairs),"Tất, Găng tay thể thao và đồ bảo hộ",Tây Ninh,Còn hàng,459000,459000,0.0,4.7674418605,43,271,2026-03-20,2.5517241379310347,1170758.6206896552,33952000.0,0.0025542784163473816,4.798572360465517,37.03448275862069,1.0,29,3.708929446008374,2
3133011787,Áo ngực thể thao Nike Alate Minimalist Women's Light-Support Padded Convertible Sports Bra,Áo lót thể thao nữ,Tây Ninh,Còn hàng,1069000,1069000,0.0,5.0,6,20,2026-03-20,0.10344827586206896,110586.20689655172,3207000.0,0.0010644817909099707,5.0,4.9655172413793105,1.0,29,0.40925259281898757,0
3133013327,Giày thể thao Nike Pegasus Trail 5 GORE-TEX Women's Waterproof Trail Running Shoes,Giày chạy bộ nữ,Thành phố Hồ Chí Minh,Còn hàng,4999000,4999000,0.0,4.5,1,10,2026-03-13,0.045454545454545456,227227.27272727274,4999000.0,0.0022731819091090944,4.5,1.0,1.0,22,0.21320071635561041,0
3133014246,Giày thể thao Nike Full Force Low Premium Men's Shoes,Giày thể thao,Thành phố Hồ Chí Minh,Còn hàng,2929000,2929000,0.0,4.5,3,35,2026-03-20,0.27586206896551724,808000.0,23432000.0,0.0017306130137389483,4.5,3.0,1.0,29,0.6489855668732951,0
3133014952,Áo thun tay ngắn Nike Men's Max90 Basketball T-Shirt,Áo phông & Áo ba lỗ,Tây Ninh,Còn hàng,1019000,1019000,0.0,4.5555555556,9,22,2026-03-20,0.06896551724137931,70275.86206896552,2038000.0,0.0,4.5325670498344826,8.586206896551724,1.0,29,0.37139067635410367,0
3133020204,Giày thể thao Nike Court Vision Mid Next Nature Men's Shoes,Giày thể thao,Tây Ninh,Còn hàng,2189000,2189000,0.0,5.0,2,6,2026-03-20,0.0,0.0,0.0,0.0010396811644429042,5.0,1.7241379310344827,1.0,29,0.0,0
3133021421,Giày thể thao Nike P-6000 Big Kids' Shoes,Giày chạy bộ bé trai,Tây Ninh,Còn hàng,2299000,2299000,0.0,3.6666666667,3,5,2026-03-20,0.0,0.0,0.0,0.0,3.6666666667,3.0,1.0,29,0.0,0
3133024231,Giày thể thao Nike Revolution 8 Women's Road Running Shoes,Giày chạy bộ nữ,Tây Ninh,Còn hàng,1813000,1909000,0.05028810895756941,4.5454545455,11,28,2026-03-20,0.4827586206896552,920896.551724138,26706000.0,0.003829410595906866,4.757053291551725,7.551724137931035,1.0,29,0.9110703930453145,0
